Team	Min	PossFor	PossOpp	PointsFor	PointsOpp	OffRtg	DefRtg	OverallRtg	ORebFor	ORebOpp	DRebFor	DRebOpp	ORebRate	DRebRate
CHI	480.0000	896	896	924	913	103.125	101.897	1.22768	149	134	332	313	0.322511	0.712446
CLE	970.0000	1735	1739	1776	1733	102.363	99.655	2.70814	287	236	682	645	0.30794	0.742919
DAL	288.0000	565	564	591	631	104.602	111.879	-7.27766	101	82	195	195	0.341216	0.703971
DEN	240.0000	440	442	441	471	100.227	106.561	-6.33381	80	71	164	160	0.333333	0.697872
DET	778.0000	1394	1395	1462	1415	104.878	101.434	3.44436	226	236	500	508	0.307902	0.679348
GSW	533.0000	1068	1066	1173	1154	109.831	108.255	1.5763	144	201	323	389	0.270169	0.616412
HOU	336.0000	618	618	611	633	98.8673	102.427	-3.55987	79	92	229	231	0.254839	0.713396
LAL	240.0000	472	474	490	542	103.814	114.346	-10.5324	80	69	160	171	0.318725	0.69869
MIA	192.0000	364	364	355	399	97.5275	109.615	-12.0879	42	55	120	142	0.228261	0.685714
NJN	576.0000	1070	1068	1082	1060	101.121	99.2509	1.87056	127	139	408	394	0.243762	0.745887
ORL	192.0000	342	342	352	388	102.924	113.45	-10.5263	57	53	124	122	0.318436	0.700565
PHX	528.0000	1035	1036	1145	1090	110.628	105.212	5.41566	140	156	373	354	0.283401	0.705104
SAS	960.0000	1787	1784	1913	1834	107.051	102.803	4.24823	248	284	646	637	0.280226	0.694624
TOR	288.0000	543	540	545	577	100.368	106.852	-6.48353	55	65	190	203	0.213178	0.745098
UTA	821.0000	1569	1569	1664	1649	106.055	105.099	0.956023	266	195	569	507	0.344114	0.744764
WAS	192.0000	355	356	366	401	103.099	112.64	-9.54186	46	59	113	157	0.226601	0.656977
